"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/ANTING-KOLONGAN-BAYI-BABY-EMAS-KADAR-17K-BUNGA-TANJUNG-i.48895190.22329430632?extraParams=%7B%22display_model_id%22%3A267459977975%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224s-mkqhltgneeiu2a","ANTING KOLONGAN BAYI / BABY - EMAS KADAR 17K - BUNGA TANJUNG","667.000","Pilih Lokal","5.0","3RB+ terjual"
"https://shopee.co.id/ANTING-TINDIK-CLOVER-LY-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.22559447947?extraParams=%7B%22display_model_id%22%3A445299988355%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82250-mkqf0erktw5if7","ANTING TINDIK CLOVER LY - EMAS 17K - BUNGA TANJUNG GOLD","2.935.000","Pilih Lokal","4.9","753 terjual"
"https://shopee.co.id/ANTING-KLIP-CLOVER-A-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.23873730300?extraParams=%7B%22display_model_id%22%3A232542714963%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224v-mkrji2h2k0zk8a","ANTING KLIP CLOVER A - EMAS 17K - BUNGA TANJUNG GOLD","3.780.000","Pilih Lokal","4.9","342 terjual"
"https://shopee.co.id/ANTING-TINDIK-TETES-AIR-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27755932774?extraParams=%7B%22display_model_id%22%3A415822322089%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224p-mkrsr7n4uadid8","ANTING TINDIK TETES AIR  - EMAS 17K - BUNGA TANJUNG GOLD","2.646.000","Pilih Lokal","4.9","212 terjual"
"https://shopee.co.id/ANTING-KLIP-FLOWER-C-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27987809894?extraParams=%7B%22display_model_id%22%3A258542667788%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mb9450s2yiam72","ANTING KLIP FLOWER C - EMAS 17K - BUNGA TANJUNG GOLD","4.032.000","Pilih Lokal","4.9","15 terjual"
"https://shopee.co.id/ANTING-KLIP-CHARLOTTE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.11665430667?extraParams=%7B%22display_model_id%22%3A440514908038%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224v-mkrji2h2lfk02d","ANTING KLIP CHARLOTTE - EMAS 17K - BUNGA TANJUNG GOLD","4.032.000","Pilih Lokal","4.9","347 terjual"
"https://shopee.co.id/ANTING-TAUGE-TOGE-YELLOW-GOLD-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.11548658170?extraParams=%7B%22display_model_id%22%3A170044644254%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224w-mkrycqci64ubfa","ANTING TAUGE TOGE YELLOW GOLD - EMAS 17K - BUNGA TANJUNG GOLD","1.427.000","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/ANTING-KLIP-ARABELLA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.20584780429?extraParams=%7B%22display_model_id%22%3A187335195401%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98x-lmcz6j222iasf2","ANTING KLIP ARABELLA - EMAS 17K - BUNGA TANJUNG GOLD","10.686.000","Pilih Lokal","5.0","58 terjual"
"https://shopee.co.id/ANTING-KLIP-SOLITAIRE-LUXURY-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.18487362853?extraParams=%7B%22display_model_id%22%3A49574665004%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wm-mlvlyddb4u0waf","ANTING KLIP SOLITAIRE LUXURY - EMAS 17K - BUNGA TANJUNG GOLD","7.583.000","Pilih Lokal","4.9","46 terjual"
"https://shopee.co.id/ANTING-KLIP-ULAR-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27468381142?extraParams=%7B%22display_model_id%22%3A233493426761%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224q-mksxdt047m6acb","ANTING KLIP ULAR - EMAS 17K - BUNGA TANJUNG GOLD","5.796.000","Pilih Lokal","4.8","91 terjual"
