"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/Cincin-Dainty-Arsya-Kupu-Kupu-Emas-17K-Bunga-Tanjung-Gold-i.48895190.17405743613?extraParams=%7B%22display_model_id%22%3A345389974822%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224s-mkrutxmzaozn0c","Cincin Dainty Arsya Kupu Kupu - Emas 17K - Bunga Tanjung Gold","934.000","Pilih Lokal","4.9","582 terjual"
"https://shopee.co.id/CINCIN-GOLDEN-LOVE-SERIES-SDW-GOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.15822038767?extraParams=%7B%22display_model_id%22%3A127861973466%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224y-mkrivnezf9c607","CINCIN GOLDEN LOVE SERIES - SDW GOLD - EMAS 18K - BUNGA TANJUNG GOLD","2.898.000","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/CINCIN-PAKU-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.22253373546?extraParams=%7B%22display_model_id%22%3A425915844879%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mnxq8l2uygw673","CINCIN PAKU - EMAS 17K - BUNGA TANJUNG GOLD","1.638.000","Pilih Lokal","4.9","206 terjual"
"https://shopee.co.id/CINCIN-CANA-INFINITY-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.29580401629?extraParams=%7B%22display_model_id%22%3A315532292913%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224u-ml0dbqt3xzb6f8","CINCIN CANA INFINITY - EMAS 17K - BUNGA TANJUNG GOLD","1.260.000","Pilih Lokal","4.9","133 terjual"
"https://shopee.co.id/CINCIN-CARINA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.17000568099?extraParams=%7B%22display_model_id%22%3A380888349772%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wg-mntnhvtyxi4k05","CINCIN CARINA - EMAS 17K - BUNGA TANJUNG GOLD","648.000","Pilih Lokal","4.9","125 terjual"
"https://shopee.co.id/CINCIN-CHARLOTTE-SUPER-RINGAN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.11673671494?extraParams=%7B%22display_model_id%22%3A129493273718%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mlpsuoaew0en04","CINCIN CHARLOTTE SUPER RINGAN - EMAS 17K - BUNGA TANJUNG GOLD","1.427.000","Pilih Lokal","5.0","468 terjual"
"https://shopee.co.id/Cincin-Dainty-Arsy-Love-Hayley-Emas-17K-Bunga-Tanjung-Gold-i.48895190.11533713857?extraParams=%7B%22display_model_id%22%3A187432040579%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mm5gm07eo6bp47","Cincin Dainty Arsy Love Hayley - Emas 17K - Bunga Tanjung Gold","934.000","Pilih Lokal","4.9","749 terjual"
"https://shopee.co.id/CINCIN-CLOVER-SUPER-RINGAN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.25375603040?extraParams=%7B%22display_model_id%22%3A168888316598%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224s-mksxtz8betjb2b","CINCIN CLOVER SUPER RINGAN - EMAS 17K - BUNGA TANJUNG GOLD","2.646.000","63 terjual","4.9",""
"https://shopee.co.id/CINCIN-CHARLOTTE-UNISEX-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.13436105027?extraParams=%7B%22display_model_id%22%3A262546096149%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82252-mkrgz4emjxts84","CINCIN CHARLOTTE UNISEX - EMAS 17K - BUNGA TANJUNG GOLD","10.558.000","Pilih Lokal","5.0","536 terjual"
"https://shopee.co.id/CINCIN-RIBBON-BOBBA-PITA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.22554634434?extraParams=%7B%22display_model_id%22%3A395313366395%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224z-mkt0sopeugaq7d","CINCIN RIBBON BOBBA PITA - EMAS 17K - BUNGA TANJUNG GOLD","1.816.000","Pilih Lokal","4.9","254 terjual"
