nama_produk,harga,lokasi,rating,terjual
GELANG TALI BUNGA SAKURA CHARM - EMAS 23K - BUNGA TANJUNG GOLD,708.000,Pilih Lokal,4.7,52 terjual
GELANG CLASSIC KOREA TWIST SUPER RINGAN - EMAS 17K - BUNGA TANJUNG GOLD,1.167.000,Pilih Lokal,4.9,1RB+ terjual
GELANG TRIXIE HOLLOW - EMAS 17K - BUNGA TANJUNG GOLD,1.167.000,Pilih Lokal,4.9,2RB+ terjual
GELANG PAPERCLIP VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,2.772.000,Pilih Lokal,4.9,306 terjual
GELANG CLOVER RAINBOW C LY - EMAS 17K - BUNGA TANJUNG GOLD,10.539.000,618 terjual,4.9,
GELANG TALI PIXIU PI XIU CHARM DRAGON - EMAS 23K - BUNGA TANJUNG GOLD,542.000,Pilih Lokal,4.9,2RB+ terjual
GELANG HERME BELL - EMAS 17K - BUNGA TANJUNG GOLD,3.424.000,Pilih Lokal,4.9,4RB+ terjual
EXTENDER - RANTAI EXTENTION KALUNG GELANG - EMAS 17K - BUNGA TANJUNG GOLD,1.050.000,Pilih Lokal,4.9,952 terjual
GELANG CLOVER FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,3.677.000,910 terjual,4.9,
GELANG TALI WILLOW LEAF DAUN BLINK - EMAS 17K - BUNGA TANJUNG GOLD,1.064.000,Pilih Lokal,5.0,431 terjual
GELANG TALI BUNGA MAWAR CHARM A - EMAS 23K - BUNGA TANJUNG GOLD,712.000,Pilih Lokal,4.9,232 terjual
GELANG SERUT CLOVER G - EMAS 17K - BUNGA TANJUNG GOLD,6.086.000,Pilih Lokal,4.9,133 terjual
GELANG CHARLOTTE GOLD LARGE - EMAS 17K - BUNGA TANJUNG GOLD,6.664.000,Pilih Lokal,4.9,134 terjual
GELANG CHARLOTTE UNLIMITED SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,16.146.000,Pilih Lokal,4.9,71 terjual
GELANG WILLOW LEAF DAUN - EMAS 17K - BUNGA TANJUNG GOLD,9.172.000,Pilih Lokal,4.9,349 terjual
GELANG LUXURY RINGAN - EMAS 17K - BUNGA TANJUNG GOLD,4.481.000,Pilih Lokal,4.8,2RB+ terjual
GELANG SERUT CLOVER ARSIR BUNGA - EMAS 17K - BUNGA TANJUNG GOLD,7.434.000,Pilih Lokal,4.5,46 terjual
GELANG GOLDEN LOVE D SERIES - SDW GOLD - EMAS 18K BUNGA TANJUNG GOLD,10.121.000,56 terjual,4.9,
GELANG FIGARO SUPER RINGAN - EMAS 17K - BUNGA TANJUNG GOLD,1.764.000,Pilih Lokal,4.9,1RB+ terjual
GELANG PAKU BERAT RINGAN - EMAS 17K - BUNGA TANJUNG GOLD,7.434.000,Pilih Lokal,4.9,287 terjual
GELANG CHARLOTTE GOLD SUPER RINGAN - EMAS 17K - BUNGA TANJUNG GOLD,4.022.000,Pilih Lokal,4.8,698 terjual
GELANG BOBBA BUBBLE POP - EMAS 17K - BUNGA TANJUNG GOLD,5.922.000,Pilih Lokal,4.9,483 terjual
GELANG SERUT CLOVER ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,7.700.000,84 terjual,4.9,
GELANG CLOVER J - EMAS 17K - BUNGA TANJUNG GOLD,6.210.000,Pilih Lokal,5.0,34 terjual
GELANG BANGLE CLOVER G - EMAS 17K - BUNGA TANJUNG GOLD,5.713.000,Pilih Lokal,4.9,53 terjual
GELANG FANCY LOOP CHAIN - EMAS 17K - BUNGA TANJUNG GOLD,3.347.000,31 terjual,5.0,
GELANG SISIK NAGA VARIASI BELL - EMAS 17K - BUNGA TANJUNG GOLD,2.646.000,Pilih Lokal,4.9,69 terjual
GELANG PAKU - EMAS 17K - BUNGA TANJUNG GOLD,19.908.000,Pilih Lokal,4.9,245 terjual
GELANG BANGLE KIPAS BLINK BS - EMAS 17K - BUNGA TANJUNG GOLD,12.978.000,Pilih Lokal,5.0,9 terjual
GELANG LUXURY CHAIN VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,9.954.000,Pilih Lokal,4.9,489 terjual
GELANG BANGLE SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,15.898.000,Pilih Lokal,4.9,73 terjual
GELANG FANIA TWIN LAYER KUPU - EMAS 18K - BUNGA TANJUNG GOLD,10.710.000,,4.9 Penilaian Toko,
GELANG CLOVER ARSIR CA - EMAS 17K - BUNGA TANJUNG GOLD,26.827.000,,4.9 Penilaian Toko,
GELANG BANGLE ULAR - EMAS 17K - BUNGA TANJUNG GOLD,17.140.000,Pilih Lokal,4.8,98 terjual
GELANG EMAS OSCANO SHIMMER 2 LAYER - EMAS 17K - BUNGA TANJUNG GOLD,3.024.000,Pilih Lokal,5.0,322 terjual
GELANG CLOVER RAINBOW ARSIR LY - EMAS 17K - BUNGA TANJUNG GOLD,28.404.000,Pilih Lokal,5.0,38 terjual
GELANG MILANO SWEETIE LOVE PINKY - EMAS 17K - BUNGA TANJUNG GOLD,15.401.000,Pilih Lokal,4.9,37 terjual
GELANG TINJU BOLA PASIR B - EMAS 17K - BUNGA TANJUNG GOLD,18.354.000,Pilih Lokal,5.0,1 terjual
GELANG SERUT CLOVER A - EMAS 17K - BUNGA TANJUNG GOLD,4.032.000,21 terjual,5.0,
GELANG FASHION CLOVER ARSIR MATA - EMAS 17K - BUNGA TANJUNG GOLD,31.940.000,,4.9 Penilaian Toko,
GELANG 2 LAYER - EMAS 17K - BUNGA TANJUNG GOLD,4.788.000,Pilih Lokal,4.9,530 terjual
GELANG CHARMEE MILANO POLOS - EMAS 17K - BUNGA TANJUNG GOLD,1.838.000,Pilih Lokal,4.9,88 terjual
GELANG SERUT TYLA TETES AIR A - EMAS 17K - BUNGA TANJUNG GOLD,3.993.000,Pilih Lokal,5.0,33 terjual
GELANG HOLLOW RANTAI KEPANG - EMAS 17K - BUNGA TANJUNG GOLD,8.190.000,Pilih Lokal,4.8,100 terjual
GELANG SERUT SISIK NAGA - EMAS 17K - BUNGA TANJUNG GOLD,7.949.000,Pilih Lokal,4.9,117 terjual
GELANG BANGLE HOLLOW PAPERCLIP A - EMAS 17K - BUNGA TANJUNG GOLD,38.019.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CLOVER PITA HATI VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,29.484.000,Pilih Lokal,5.0,6 terjual
GELANG DISNEY MICKEY MINNIE 2 LAYER - EMAS 17K - BUNGA TANJUNG GOLD,14.956.000,1 terjual,5.0,
GELANG BANGLE HATI SOLITAIRE - EMAS 17K -BUNGA TANJUNG GOLD,11.012.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP KIARA VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,5.506.000,Pilih Lokal,5.0,5 terjual
GELANG SERUT MOLLY INISIAL - EMAS 17K - BUNGA TANJUNG GOLD,3.276.000,,4.9 Penilaian Toko,
GELANG MEGUMI SUPER ELASTIS - EMAS 17K - BUNGA TANJUNG GOLD,5.418.000,Pilih Lokal,4.8,324 terjual
GELANG SERUT FASHION KATAK A - EMAS 17K - BUNGA TANJUNG GOLD,12.323.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG GOLDEN LOVE B SERIES - SDW GOLD - EMAS 18K BUNGA TANJUNG GOLD,15.120.000,Pilih Lokal,4.9,213 terjual
GELANG SERUT CLOVER C - EMAS 17K - BUNGA TANJUNG GOLD,6.334.000,91 terjual,4.9,
GELANG SERUT DISNEY MICKEY - EMAS 17K - BUNGA TANJUNG GOLD,6.300.000,5 terjual,5.0,
CINCIN RABBIT - EMAS 17K - BUNGA TANJUNG GOLD,2.142.000,Pilih Lokal,4.9,83 terjual
GELANG PAPERCLIP 2 LAYER - EMAS 17K - BUNGA TANJUNG GOLD,6.941.000,Pilih Lokal,4.8,90 terjual
GELANG GOLDEN LOVE SERIES - SDW GOLD - EMAS 18K BUNGA TANJUNG GOLD,5.670.000,Pilih Lokal,4.9,429 terjual
GELANG KEPANG SHIMMER ARSIR E - EMAS 17K - BUNGA TANJUNG GOLD,27.324.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG ARESO - EMAS 17K - BUNGA TANJUNG GOLD,3.906.000,Pilih Lokal,4.9,637 terjual
GELANG CHOKER KEPANG C - EMAS 17K - BUNGA TANJUNG GOLD,10.144.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE HATI MATA D - EMAS 17K - BUNGA TANJUNG GOLD,17.174.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI BEZEL SUPER RINGAN - EMAS 17K - BUNGA TANJUNG GOLD,2.732.000,Pilih Lokal,4.7,40 terjual
GELANG MAGNETICA - HALA GOLD - EMAS 18K - BUNGA TANJUNG,12.370.000,68 terjual,4.9,
GELANG HOLLOW TOOGLE FLOWER HATI WT - EMAS 17K - BUNGA TANJUNG GOLD,23.336.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE CLOVER C - EMAS 17K - BUNGA TANJUNG GOLD,10.836.000,Pilih Lokal,4.9,19 terjual
GELANG BANGLE POLOS - EMAS 17K - BUNGA TANJUNG GOLD,11.466.000,Pilih Lokal,4.8,240 terjual
GELANG KIDS ANAK SISIK NAGA PLAT B - EMAS 17K - BUNGA TANJUNG GOLD,12.848.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG TAMBANG LILIT - EMAS 17K - BUNGA TANJUNG GOLD,20.160.000,Pilih Lokal,5.0,18 terjual
GELANG BOBBA BARONGSAI SWEET KH - EMAS 17K - BUNGA TANJUNG GOLD,22.604.000,62 terjual,4.9,
GELANG KIPAS TWIN LAYER - EMAS 17K - BUNGA TANJUNG GOLD,10.805.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FLOWER KUMBANG WT - EMAS 17K - BUNGA TANJUNG GOLD,12.745.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CHOKER KEPANG A - EMAS 17K - BUNGA TANJUNG GOLD,12.245.000,Pilih Lokal,4.8,40 terjual
GELANG LUXURY CHAIN ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,9.828.000,Pilih Lokal,4.8,69 terjual
GELANG SERUT PAPERCLIP - EMAS 17K - BUNGA TANJUNG GOLD,2.772.000,Pilih Lokal,5.0,148 terjual
GELANG  CHARLOTTE UNLIMITED SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,10.164.000,Pilih Lokal,5.0,11 terjual
GELANG HERME KUNCI GEMBOK B - EMAS 17K - BUNGA TANJUNG GOLD,8.073.000,Pilih Lokal,4.9,43 terjual
GELANG ROSARIO ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,11.340.000,Pilih Lokal,4.8,10 terjual
GELANG BOLA SHIMMER WARNA - EMAS 17K - BUNGA TANJUNG GOLD,22.943.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE CLOVER A - EMAS 17K - BUNGA TANJUNG GOLD,6.552.000,Pilih Lokal,4.9,17 terjual
GELANG CHARLOTTE SHIMMER - EMAS 17 K - BUNGA TANJUNG GOLD,23.598.000,Pilih Lokal,5.0,3 terjual
GELANG TALI SEE THE LIGHT - EMAS 17K - BUNGA TANJUNG GOLD,1.008.000,12 terjual,5.0,
GELANG BANGLE LAYER TINE KUPU KUPU - EMAS 17K - BUNGA TANJUNG GOLD,12.323.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE TWIN T BLINK - EMAS 17K - BUNGA TANJUNG GOLD,11.923.000,Pilih Lokal,4.9,84 terjual
GELANG EMAS KIARA TWIST - EMAS 17K - BUNGA TANJUNG GOLD,2.484.000,Pilih Lokal,4.9,95 terjual
GELANG VAR 68 - EMAS 17K - BUNGA TANJUNG GOLD,10.801.500,1 terjual,5.0,
GELANG VAR 59 - EMAS 17K - BUNGA TANJUNG GOLD,11.632.750,,4.9 Penilaian Toko,
GELANG ZEFIA BLOOM D - EMAS 17K - BUNGA TANJUNG GOLD,9.191.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE POLKADOT - EMAS 17K - BUNGA TANJUNG GOLD,13.910.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE WIRE POLOS - EMAS 17K - BUNGA TANJUNG GOLD,10.805.000,Pilih Lokal,5.0,1 terjual
GELANG REFLECTA FANIA LOVELY DAY - EMAS 18K - BUNGA TANJUNG GOLD,6.174.000,,4.9 Penilaian Toko,
GELANG SERUT ULAR B - EMAS 17K - BUNGA TANJUNG GOLD,5.713.000,Pilih Lokal,5.0,5 terjual
GELANG SNOWBALL VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,2.772.000,Pilih Lokal,5.0,384 terjual
GELANG EMAS OSCANO SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,1.406.000,Pilih Lokal,4.9,285 terjual
GELANG SISIK NAGA KH - EMAS 17K - BUNGA TANJUNG GOLD,31.595.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE POLOS RABBIT - EMAS 17K - BUNGA TANJUNG GOLD,13.395.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE DAISA BLINK - EMAS 17K - BUNGA TANJUNG GOLD,7.211.000,Pilih Lokal,5.0,1 terjual
GELANG RANTAI DIVA KIPAS BLINK BS - EMAS 17K - BUNGA TANJUNG GOLD,18.009.000,Pilih Lokal,5.0,38 terjual
GELANG SUPER FLAT 2 WARNA BOLAK BALIK - EMAS 17K - BUNGA TANJUNG GOLD,7.938.000,Pilih Lokal,5.0,351 terjual
GELANG SERUT WILLOW LEAF DAUN - EMAS 17K - BUNGA TANJUNG GOLD,8.321.000,Pilih Lokal,5.0,97 terjual
GELANG CHOKER VARIASI D - EMAS 17K - BUNGA TANJUNG GOLD,12.420.000,Pilih Lokal,5.0,40 terjual
GELANG VAR 60 - EMAS 17K - BUNGA TANJUNG GOLD,10.564.950,,4.9 Penilaian Toko,
GELANG BANGLE KIDS ANAK LOTSO - EMAS 17K - BUNGA TANJUNG GOLD,4.347.000,,4.9 Penilaian Toko,
GELANG BANGLE WILLOW LEAF DAUN SHIMMER B - EMAS 17K - BUNGA TANJUNG GOLD,13.897.000,Pilih Lokal,5.0,4 terjual
GELANG LAYER CHOKER SHIMMER A KH - EMAS 17K - BUNGA TANJUNG GOLD,19.796.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RUMBAI PITA LOVE - EMAS 17K - BUNGA TANJUNG GOLD,10.681.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT HERME - EMAS 17K - BUNGA TANJUNG GOLD,5.922.000,Pilih Lokal,4.9,376 terjual
GELANG BANGLE TINJU HATI - EMAS 17K - BUNGA TANJUNG GOLD,10.488.000,Pilih Lokal,5.0,1 terjual
GELANG SERUT CLOVER HOLLOW - EMAS 17K - BUNGA TANJUNG GOLD,9.702.000,79 terjual,5.0,
GELANG BANGLE CLOVER B - EMAS 17K - BUNGA TANJUNG GOLD,8.942.000,Pilih Lokal,4.9,44 terjual
GELANG KIDS ANAK HELLO KITTY A - EMAS 17K - BUNGA TANJUNG GOLD,5.092.000,,4.9 Penilaian Toko,
CINCIN HAYLEY HEART - EMAS 17K - BUNGA TANJUNG GOLD,1.638.000,Pilih Lokal,5.0,73 terjual
GELANG SERUT 2 LAYER SANTA BOLA VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,10.206.000,Pilih Lokal,5.0,17 terjual
GELANG LAYER CHOKER SHIMMER E KH - EMAS 17K - BUNGA TANJUNG GOLD,18.616.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT PLAT - EMAS 17K - BUNGA TANJUNG GOLD,6.904.000,Pilih Lokal,4.9,466 terjual
GELANG VAR 71 - EMAS 17K - BUNGA TANJUNG GOLD,11.989.000,,4.9 Penilaian Toko,
GELANG PAPERCLIP TWIN LAYER KUSANO - EMAS 17K - BUNGA TANJUNG GOLD,11.675.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE BAMBU PITA - EMAS 17K - BUNGA TANJUNG GOLD,14.290.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG GOLDEN LOVE MELTS B - SDW GOLD - EMAS 18K BUNGA TANJUNG GOLD,10.584.000,Pilih Lokal,4.9,27 terjual
GELANG BANGLE WAVE ULAR - EMAS 17K - BUNGA TANJUNG GOLD,15.732.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TWIN T POLOS - EMAS 17K - BUNGA TANJUNG GOLD,11.054.000,Pilih Lokal,4.9,75 terjual
GELANG BANGLE DANIA - EMAS 17K - BUNGA TANJUNG GOLD,15.244.000,,4.9 Penilaian Toko,
GELANG FLORA CHAIN BOLD - EMAS 18K - BUNGA TANJUNG GOLD,6.778.000,Pilih Lokal,5.0,2 terjual
GELANG SUPER FLAT LILIT PAPERCLIP FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,13.165.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE HATI MATA B - EMAS 17K - BUNGA TANJUNG GOLD,13.766.000,Pilih Lokal,5.0,2 terjual
GELANG SWEET FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,18.118.000,,4.9 Penilaian Toko,
GELANG BANGLE TINJU TUBE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,17.293.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE CLOVER LISTRING E - EMAS 17K - BUNGA TANJUNG GOLD,16.125.000,Pilih Lokal,4.9 Penilaian Toko,
