"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","truncate 2"
"https://shopee.co.id/KALUNG-ITALY-SANTA-DEWASA-UNISEX-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.12907109035?extraParams=%7B%22display_model_id%22%3A261666884442%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224q-mkqhltgoncp1a7","KALUNG ITALY SANTA DEWASA UNISEX - EMAS 17K - BUNGA TANJUNG GOLD","5.056.000","4.9","2RB+ terjual",""
"https://shopee.co.id/KALUNG-LY-FASHION-CLOVER-RAINBOW-C-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.25071793289?extraParams=%7B%22display_model_id%22%3A425835776924%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224y-mkt2vnnek3cy02","KALUNG LY FASHION CLOVER RAINBOW C - EMAS 17K - BUNGA TANJUNG GOLD","12.806.000","4.9","43 terjual",""
"https://shopee.co.id/KALUNG-CLOVER-C-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.22166820903?extraParams=%7B%22display_model_id%22%3A290846904073%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98x-lmpkw3bvinmndc","KALUNG CLOVER C - EMAS 17K - BUNGA TANJUNG GOLD","7.560.000","4.8","Pilih Lokal","48 terjual"
"https://shopee.co.id/KALUNG-RANTAI-HOLLOW-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.19159583231?extraParams=%7B%22display_model_id%22%3A276712438842%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224r-mkrji2h2mu4g97","KALUNG RANTAI HOLLOW - EMAS 17K - BUNGA TANJUNG GOLD","2.772.000","4.9","Pilih Lokal","405 terjual"
"https://shopee.co.id/KALUNG-HOLLOW-PAPERCLIP-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.21347894956?extraParams=%7B%22display_model_id%22%3A445891669419%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224s-mkuj01ibdddu37","KALUNG HOLLOW PAPERCLIP - EMAS 17K - BUNGA TANJUNG GOLD","5.454.000","4.9","Pilih Lokal","362 terjual"
"https://shopee.co.id/KALUNG-HOLLOW-TETES-A-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.28860991020?extraParams=%7B%22display_model_id%22%3A440735169890%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mnz6j4oj6kg050","KALUNG HOLLOW TETES A - EMAS 17K - BUNGA TANJUNG GOLD","4.032.000","4.9","Pilih Lokal","138 terjual"
"https://shopee.co.id/KALUNG-HOLLOW-LUXURY-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.41410520579?extraParams=%7B%22display_model_id%22%3A350860359883%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mcojwhnm3cfse9","KALUNG HOLLOW LUXURY - EMAS 17K - BUNGA TANJUNG GOLD","5.292.000","5.0","Pilih Lokal","5 terjual"
"https://shopee.co.id/KALUNG-CLOVER-L-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.16895311757?extraParams=%7B%22display_model_id%22%3A270384344793%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mlysjkgot0jk91","KALUNG CLOVER L - EMAS 17K - BUNGA TANJUNG GOLD","9.702.000","4.5","Pilih Lokal","46 terjual"
"https://shopee.co.id/KALUNG-VAR-44-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.29531243401?extraParams=%7B%22display_model_id%22%3A272612821342%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mo6bkkz1f11g55","KALUNG VAR 44 - EMAS 17K - BUNGA TANJUNG GOLD","9.983.250","5.0","Pilih Lokal","6 terjual"
"https://shopee.co.id/KALUNG-VAR-42-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.28080584329?extraParams=%7B%22display_model_id%22%3A405913445932%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wi-mo6bkkz1f11dfd","KALUNG VAR 42 - EMAS 17K - BUNGA TANJUNG GOLD","9.027.850","4.9 Penilaian Toko","Pilih Lokal",""
