nama_produk,kategori,harga,deskripsi,nama_toko
CINCIN NIKAH DAPHNE WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,4500000,"Cincin nikah Daphne wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-DAPHNE-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.20182095735",Bunga Tanjung Official Shop
CINCIN NIKAH SABINA WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,4850000,"Cincin nikah Sabina wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-SABINA-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.29844774891",Bunga Tanjung Official Shop
CINCIN NIKAH QEELA WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,4200000,"Cincin nikah Qeela wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-QEELA-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.54309979785",Bunga Tanjung Official Shop
CINCIN NIKAH MARETTA WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,5100000,"Cincin nikah Maretta wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-MARETTA-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.28676038237",Bunga Tanjung Official Shop
CINCIN NIKAH KEYNA WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,4650000,"Cincin nikah Keyna wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-KEYNA-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.22852625776",Bunga Tanjung Official Shop
CINCIN NIKAH FALYN WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,4350000,"Cincin nikah Falyn wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-FALYN-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.16895554931",Bunga Tanjung Official Shop
CINCIN NIKAH LIANA WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,4900000,"Cincin nikah Liana wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-LIANA-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.22746439452",Bunga Tanjung Official Shop
CINCIN NIKAH RENATA WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,4750000,"Cincin nikah Renata wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-RENATA-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.28179816101",Bunga Tanjung Official Shop
CINCIN NIKAH CHLOE WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,5250000,"Cincin nikah Chloe wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-CHLOE-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.16792327862",Bunga Tanjung Official Shop
CINCIN NIKAH FARRA WEDDING RING EMAS 17K BUNGA TANJUNG GOLD,Cincin,4400000,"Cincin nikah Farra wedding ring emas 17K. Beli di: https://shopee.co.id/CINCIN-NIKAH-FARRA-WEDDING-RING-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.24126805720",Bunga Tanjung Official Shop
